Canada,47
BD,1
BA,1
Lithuania,1
Argentina,7
RS,7
Germany,35
Spain,18
Netherlands,21
Jamaica,2
BH,1
GB,2
GA,3
Jersey,12
Pakistan,10
India,87
Turkey,21
Bangladesh,2
Hungary,1
HT,2
France,43
Norway,1
PR,13
Singapore,6
PA,22
China,73
PE,1
ER,2
PM,1
Finland,2
Sweden,7
KY,7
Bulgaria,3
MD,30
MG,7
MA,13
Portugal,1
UZ,2
MO,5
MN,6
MH,2
US,6
MT,1
MP,1
MS,13
Japan,97
UA,1
Brazil,22
Ireland,2
Nigeria,12
FO,1
Australia,49
Iran,13
Algeria,2
NC,17
NE,2
Chile,3
Belgium,13
Thailand,6
Iraq,1
Georgia,3
CO,15
CN,1
CM,1
CC,2
Denmark,20
CA,26
Romania,4
CD,1
Croatia,5
Switzerland,10
SR,1
Lebanon,1
KM,1
SC,2
Taiwan,26
SE,1
Italy,17
DK,1
USA,539
Sudan,1
Nepal,1
Brasil,2
Israel,14
LA,7
Iceland,2
Malaysia,15
TN,2
Jordan,1
Poland,8
VA,9
UK,75
AG,2
AL,3
AR,25
AU,2
IL,8
IN,2
AZ,12
Mexico,5
Egypt,17
Cuba,2
Greece,3
Botswana,2
