1948,8
1949,1
1950,2
1951,2
1953,4
1954,3
1955,2
1956,3
1957,5
1958,4
1960,7
1961,6
1962,6
1963,19
1964,25
1965,25
1966,37
1967,46
1968,65
1969,29
1970,64
1971,58
1972,89
1973,114
1974,134
1975,137
1976,193
1977,173
1978,192
1979,178
1980,199
1981,244
1982,222
1983,268
1984,295
1985,289
1986,296
1987,263
1988,263
1989,294
1990,307
1991,346
1992,307
1993,310
1994,311
1995,356
1996,380
1997,352
1998,403
1999,386
2000,427
2001,498
2002,582
2003,566
2004,603
2005,673
2006,708
2007,734
2008,638
2009,705
2010,812
2011,854
2012,861
2013,894
2014,998
2015,872
2016,218
