Canada,179
BD,2
BM,2
JM,1
BV,1
BW,1
BS,1
Argentina,60
Bolivia,1
PAN,1
RS,9
Japan,708
KY,9
Slovenia,4
Jordan,4
RO,1
Spain,239
Netherlands,166
GR,3
Jamaica,1
CHN,1
GG,1
GE,1
GB,1
GA,13
Monaco,1
Jersey,16
Pakistan,8
KE,2
India,86
TC,1
Kenya,3
Macao,2
Turkey,99
Bangladesh,1
HR,1
France,270
HK,1
Slovakia,5
Peru,1
Norway,22
PR,20
PT,1
Singapore,26
UGA,1
PA,58
China,204
Ecuador,1
Armenia,2
PH,1
PL,1
Ukraine,8
Finland,12
MG,2
Indonesia,2
ZA,2
Sweden,81
NL,1
Taiwan,108
ES,1
Bulgaria,1
ME,2
MD,69
Romania,3
MA,45
MC,5
UZ,1
MO,17
MN,34
US,9
MT,1
Austria,51
MS,5
Hungary,29
UA,1
VU,6
Brazil,98
ER,1
Kuwait,7
Panama,1
Ireland,18
Nigeria,2
Guadeloupe,1
Australia,161
Iran,46
Algeria,1
NO,1
NC,39
NE,7
Chile,32
Belgium,50
Thailand,26
Iraq,13
Philippines,2
Georgia,18
CO,18
CN,1
CM,1
CC,1
Denmark,23
Poland,43
CG,2
CF,1
Morocco,2
CX,1
Croatia,2
AUT,1
Switzerland,60
Angola,1
KG,3
Portugal,33
Estonia,1
Uruguay,3
SS,3
Lebanon,8
KM,1
Tunisia,9
SN,1
Colombia,8
SC,14
SA,7
SE,2
Qatar,1
DM,3
Italy,256
USA,1040
DE,7
CH,2
Venezuela,3
Brasil,9
Israel,60
LA,14
Iceland,2
Malaysia,12
TR,1
LK,1
TN,17
Germany,291
Senegal,1
CA,46
VA,46
UK,275
AG,3
VI,3
AM,1
AL,18
AR,3
IL,51
IN,11
AZ,6
ID,1
Mexico,45
Egypt,27
Serbia,6
Greece,59
