1940,1
1947,6
1948,11
1949,8
1950,20
1951,42
1952,24
1953,35
1954,36
1955,48
1956,52
1957,55
1958,65
1959,60
1960,64
1961,52
1962,53
1963,178
1964,277
1965,187
1966,177
1967,182
1968,264
1969,296
1970,347
1971,448
1972,453
1973,559
1974,624
1975,678
1976,723
1977,705
1978,728
1979,761
1980,874
1981,890
1982,823
1983,902
1984,867
1985,899
1986,943
1987,870
1988,813
1989,907
1990,922
1991,977
1992,1016
1993,983
1994,1068
1995,1057
1996,1118
1997,1005
1998,1214
1999,1208
2000,1396
2001,1427
2002,1569
2003,1804
2004,1714
2005,1861
2006,1834
2007,1926
2008,1830
2009,1936
2010,2064
2011,2044
2012,2141
2013,2100
2014,2162
2015,2016
2016,491
