Canada,45
Turkey,6
Qatar,1
MN,1
Italy,24
USA,191
CH,1
Hungary,1
BH,2
France,23
NO,1
BV,1
Netherlands,18
ETH,4
Norway,6
Argentina,4
Lithuania,1
PR,14
Israel,7
Australia,6
Iran,2
LA,4
IN,5
Singapore,4
NC,7
PA,8
China,77
Jersey,6
Chile,1
Belgium,3
Germany,38
Poland,17
Spain,23
Nigeria,1
VA,4
Georgia,6
Uganda,1
AG,2
MD,6
CC,3
Denmark,6
CA,6
Finland,3
Sweden,27
Uruguay,3
IL,2
GA,1
Japan,77
Switzerland,6
KG,1
Guadeloupe,1
FIN,1
SA,1
Brazil,1
Pakistan,1
MA,4
Portugal,5
Estonia,1
Mexico,3
Egypt,3
MO,1
RS,1
India,13
US,6
Austria,2
AR,1
UK,20
SC,1
SB,2
Taiwan,7
SE,2
