Canada,127
WF,1
BA,3
BM,1
JP,1
Cambodia,1
Ethiopia,1
WS,1
BR,1
Argentina,25
Cameroon,8
Bahrain,2
RS,4
Slovenia,5
Jordan,5
ETH,1
Taiwan,116
Spain,137
Netherlands,213
CHE,1
Oman,6
Tanzania,1
GB,2
GA,17
Yemen,1
Jersey,22
GH,1
Pakistan,28
India,570
Kenya,2
Macao,4
Turkey,50
Bangladesh,6
Mongolia,1
France,195
Slovakia,10
HM,2
Norway,13
CMR,1
Benin,1
PR,203
Singapore,29
TKM,1
Montenegro,1
PA,22
China,898
PG,13
Armenia,1
NL,2
PL,5
Ukraine,5
Indonesia,6
EH,1
EG,1
Finland,83
ZA,1
EC,1
IT,1
Sweden,59
Macedonia,1
ET,1
SA,7
Bulgaria,30
MD,43
MG,10
MA,51
Portugal,30
MO,14
MN,11
MH,1
US,16
MT,2
Austria,43
MV,1
MP,3
MS,14
Japan,473
UA,2
VU,3
Brazil,116
FR,4
Panama,1
IN,12
Luxembourg,2
NP,1
Ireland,60
SJ,1
Nigeria,6
Australia,61
Iran,92
Algeria,3
NC,26
NE,7
Chile,15
Belgium,48
Thailand,38
Iraq,4
CK,1
Georgia,27
CO,2
Brasil,9
CM,1
CC,2
Denmark,27
CA,65
Romania,4
Morocco,4
CX,1
Croatia,13
Switzerland,50
CR,1
CV,1
KG,3
MC,13
Uruguay,3
SS,5
Lebanon,1
SV,1
AZ,6
ST,2
SK,2
Egypt,66
SN,8
Colombia,4
SC,12
KY,5
Cyprus,1
SE,9
SD,2
Madagascar,1
Italy,259
DK,1
USA,923
Sudan,1
DE,2
MSR,1
Venezuela,2
CN,1
Israel,39
LA,10
Iceland,1
Malaysia,41
Senegal,2
TN,11
Germany,379
TD,1
Kazakhstan,1
Poland,62
VA,7
EST,1
AE,3
UK,230
AG,4
VI,1
AM,4
AL,6
AO,1
AS,2
AR,5
IL,17
Hungary,19
Guadeloupe,1
ID,1
Mexico,39
Tunisia,4
Cuba,3
Serbia,14
Greece,48
Paraguay,1
BHS,1
