1948,2
1950,1
1951,1
1952,3
1953,2
1954,1
1955,2
1956,3
1957,4
1958,7
1959,13
1960,30
1961,61
1962,76
1963,172
1964,293
1965,199
1966,228
1967,316
1968,370
1969,408
1970,482
1971,632
1972,627
1973,753
1974,819
1975,856
1976,832
1977,796
1978,915
1979,904
1980,846
1981,937
1982,1015
1983,1158
1984,1306
1985,1333
1986,1295
1987,1306
1988,1265
1989,1473
1990,1512
1991,1505
1992,1453
1993,1518
1994,1463
1995,1461
1996,1544
1997,1307
1998,1457
1999,1482
2000,1562
2001,1590
2002,1821
2003,1703
2004,1560
2005,1818
2006,1771
2007,1797
2008,1718
2009,1765
2010,1806
2011,1943
2012,1943
2013,1936
2014,2003
2015,1751
2016,403
