1952,1
1953,21
1954,255
1955,543
1956,790
1957,594
1958,425
1959,311
1960,256
1961,225
1962,309
1963,542
1964,645
1965,429
1966,466
1967,517
1968,551
1969,552
1970,530
1971,524
1972,518
1973,577
1974,579
1975,546
1976,446
1977,417
1978,407
1979,406
1980,331
1981,380
1982,380
1983,394
1984,374
1985,372
1986,352
1987,294
1988,320
1989,289
1990,259
1991,266
1992,224
1993,230
1994,179
1995,195
1996,163
1997,157
1998,146
1999,148
2000,201
2001,152
2002,151
2003,178
2004,158
2005,162
2006,164
2007,166
2008,156
2009,153
2010,173
2011,167
2012,159
2013,164
2014,138
2015,146
2016,31
