1961,1
1962,12
1963,51
1964,127
1965,128
1966,131
1967,192
1968,254
1969,277
1970,346
1971,408
1972,342
1973,454
1974,508
1975,502
1976,472
1977,472
1978,516
1979,581
1980,564
1981,631
1982,685
1983,733
1984,706
1985,653
1986,659
1987,648
1988,636
1989,650
1990,687
1991,624
1992,590
1993,624
1994,508
1995,503
1996,509
1997,395
1998,486
1999,454
2000,442
2001,437
2002,442
2003,388
2004,415
2005,463
2006,421
2007,416
2008,390
2009,372
2010,441
2011,387
2012,418
2013,392
2014,404
2015,339
2016,108
