Canada,138
PF,1
BA,5
Ethiopia,1
Argentina,58
Ghana,4
RS,3
Slovenia,6
Germany,116
Spain,185
Netherlands,83
Tanzania,1
GD,1
GA,12
Jersey,4
GH,1
Pakistan,3
Greenland,2
India,13
Kenya,1
Turkey,14
Bangladesh,2
France,21
Reunion,1
Slovakia,17
Norway,71
Benin,1
PR,36
Singapore,5
PA,7
China,221
PL,1
Ukraine,2
Finland,11
Sweden,88
NL,1
ME,2
MD,5
MG,1
MA,12
Portugal,8
MO,4
US,30
Austria,3
UK,49
Hungary,6
IL,4
Brazil,28
IN,1
Ireland,1
ETH,2
MS,1
Australia,32
Iran,9
NO,2
NC,6
NE,3
Chile,3
Belgium,56
Georgia,12
CO,5
Brasil,4
Denmark,40
CA,11
Romania,6
Morocco,1
Croatia,3
Switzerland,7
Estonia,2
SS,10
Uzbekistan,1
Tunisia,9
Colombia,1
SL,1
SC,3
Taiwan,8
Nicaragua,1
SE,1
Italy,82
DK,2
USA,227
Venezuela,1
Israel,2
LA,3
Iceland,7
TN,1
Jordan,5
TH,2
TG,1
TD,4
Poland,17
VA,7
AE,1
Uganda,2
AG,2
AF,1
Macedonia,1
AS,2
Latvia,1
VU,4
Japan,104
Mexico,25
Egypt,15
Cuba,1
Greece,9
Paraguay,9
