1958,1
1959,3
1960,36
1961,34
1962,35
1963,58
1964,86
1965,44
1966,50
1967,76
1968,71
1969,77
1970,102
1971,119
1972,147
1973,191
1974,249
1975,293
1976,355
1977,338
1978,420
1979,466
1980,491
1981,497
1982,546
1983,492
1984,607
1985,592
1986,581
1987,548
1988,557
1989,551
1990,591
1991,574
1992,579
1993,511
1994,548
1995,540
1996,519
1997,437
1998,476
1999,475
2000,440
2001,476
2002,515
2003,476
2004,448
2005,456
2006,457
2007,449
2008,433
2009,418
2010,420
2011,412
2012,428
2013,412
2014,387
2015,346
2016,89
