Canada,1112
BE,1
BF,1
BG,3
BA,1
BB,1
BM,1
Lithuania,6
BT,2
Ethiopia,3
BV,5
BR,1
Palestine,1
Argentina,175
Cameroon,21
Ghana,7
LV,1
RW,5
RS,33
Uzbekistan,1
KY,24
Slovenia,14
GI,3
Germany,829
Spain,657
Netherlands,371
GS,3
CHE,1
BH,1
Jamaica,2
Oman,6
Tanzania,1
IM,1
GG,1
GF,1
GE,2
GD,10
GB,3
GA,42
Senegal,3
Yemen,1
FIN,1
Jersey,100
GH,2
Pakistan,30
Albania,1
JM,1
India,659
Kenya,6
Turkey,402
Bangladesh,12
BEL,1
Eritrea,1
Mongolia,1
France,784
Slovakia,16
Peru,1
PF,1
Norway,121
Benin,7
PR,139
PS,2
Singapore,49
DE,13
Togo,3
PA,209
China,764
PG,1
Armenia,2
PE,8
PH,1
PN,1
PL,9
PM,1
Ukraine,12
Indonesia,3
Libya,7
MV,1
Finland,189
ZA,2
IT,2
BLM,1
Sweden,520
Belarus,3
Macedonia,2
NL,5
SA,36
ES,15
Bulgaria,41
ME,1
MD,188
MG,29
MA,172
Portugal,67
MM,1
Cyprus,1
MO,84
MN,87
MH,1
US,19
UM,1
Malaysia,51
Austria,136
Latvia,1
MP,8
MS,19
MR,5
Hungary,181
Niger,3
UA,23
VU,4
Brazil,848
FR,3
Cuba,14
Kuwait,38
Panama,2
IN,34
Luxembourg,1
NP,1
Ireland,55
Nigeria,90
COM,2
NI,1
Australia,542
Iran,145
Algeria,5
NO,1
NC,140
NE,24
NF,1
Chile,52
Belgium,238
Thailand,80
Iraq,4
Philippines,1
CI,1
Georgia,102
CO,23
Brasil,108
CM,1
CC,1
Denmark,292
CA,240
Romania,33
IMN,1
Morocco,7
CX,3
Croatia,35
Switzerland,190
CR,4
CU,2
SY,1
KG,8
MC,8
Estonia,9
Uruguay,4
SS,5
KH,1
Lebanon,25
KN,1
KM,1
SK,4
Tunisia,4
SI,1
Montenegro,4
Colombia,9
ML,1
SC,75
SB,2
Taiwan,357
SG,2
MEX,1
SE,11
SD,3
DO,2
Qatar,2
SL,1
Italy,1019
USA,3988
Sudan,4
Nepal,3
LVA,1
MSR,1
TW,3
CH,3
Venezuela,13
CN,2
Israel,316
MT,7
Iceland,3
TT,1
ER,2
MW,1
TN,72
TO,3
TL,1
Zimbabwe,2
Jordan,10
TH,1
Gambia,1
TG,1
Mauritius,1
Poland,244
VA,126
VC,1
AE,1
UK,964
AG,33
AI,1
VI,1
IR,1
AM,9
AL,23
AO,1
AS,4
AR,15
AU,3
IL,108
AW,1
Japan,3505
AZ,19
ID,4
Honduras,1
Mexico,245
Egypt,194
LA,31
Serbia,27
QA,1
Uganda,1
BD,1
Greece,81
Paraguay,3
