1955,1
1956,3
1957,3
1960,3
1963,4
1964,50
1965,72
1966,98
1967,121
1968,158
1969,131
1970,141
1971,193
1972,239
1973,280
1974,367
1975,486
1976,586
1977,579
1978,718
1979,748
1980,1009
1981,987
1982,1007
1983,1160
1984,1183
1985,1318
1986,1325
1987,1298
1988,1243
1989,1472
1990,1427
1991,1407
1992,1362
1993,1362
1994,1287
1995,1221
1996,1145
1997,1004
1998,1048
1999,1009
2000,955
2001,979
2002,943
2003,930
2004,819
2005,856
2006,807
2007,834
2008,750
2009,724
2010,749
2011,685
2012,749
2013,659
2014,645
2015,608
2016,139
