1947,2
1948,7
1949,8
1950,14
1951,6
1952,14
1953,11
1954,8
1955,10
1956,4
1957,11
1958,11
1959,10
1960,20
1961,34
1962,41
1963,87
1964,63
1965,43
1966,43
1967,38
1968,41
1969,49
1970,40
1971,35
1972,42
1973,40
1974,46
1975,16
1976,31
1977,34
1978,23
1979,25
1980,17
1981,25
1982,19
1983,21
1984,19
1985,21
1986,15
1987,14
1988,9
1989,14
1990,13
1991,15
1992,12
1993,10
1994,15
1995,12
1996,19
1997,12
1998,14
1999,24
2000,18
2001,26
2002,31
2003,34
2004,30
2005,31
2006,30
2007,25
2008,26
2009,37
2010,39
2011,18
2012,25
2013,24
2014,23
2015,31
2016,4
