1925,1
1928,1
1933,2
1937,1
1939,1
1944,2
1945,1
1946,1
1947,1
1948,22
1949,13
1950,32
1951,38
1952,35
1953,46
1954,34
1955,57
1956,41
1957,47
1958,46
1959,70
1960,71
1961,70
1962,84
1963,149
1964,221
1965,183
1966,194
1967,202
1968,222
1969,226
1970,180
1971,222
1972,220
1973,235
1974,162
1975,171
1976,191
1977,170
1978,178
1979,172
1980,190
1981,217
1982,199
1983,198
1984,227
1985,222
1986,223
1987,225
1988,198
1989,247
1990,218
1991,244
1992,218
1993,237
1994,230
1995,218
1996,178
1997,178
1998,170
1999,193
2000,201
2001,239
2002,234
2003,264
2004,274
2005,326
2006,340
2007,338
2008,351
2009,342
2010,453
2011,428
2012,433
2013,430
2014,452
2015,356
2016,95
