1948,1
1949,1
1950,4
1951,9
1952,8
1953,15
1954,21
1955,27
1956,23
1957,19
1958,22
1959,31
1960,17
1961,38
1962,43
1963,65
1964,86
1965,82
1966,90
1967,85
1968,84
1969,96
1970,72
1971,79
1972,82
1973,58
1974,60
1975,56
1976,45
1977,56
1978,46
1979,36
1980,43
1981,34
1982,53
1983,54
1984,44
1985,35
1986,35
1987,23
1988,24
1989,45
1990,27
1991,30
1992,33
1993,25
1994,24
1995,31
1996,26
1997,22
1998,15
1999,9
2000,16
2001,10
2002,20
2003,17
2004,15
2005,17
2006,17
2007,14
2008,17
2009,17
2010,13
2011,8
2012,16
2013,20
2014,11
2015,7
2016,2
