1952,541
1953,821
1954,542
1955,406
1956,392
1957,385
1958,281
1959,232
1960,261
1961,235
1962,254
1963,510
1964,560
1965,295
1966,241
1967,376
1968,391
1969,377
1970,413
1971,333
1972,355
1973,378
1974,368
1975,260
1976,285
1977,244
1978,269
1979,253
1980,241
1981,220
1982,207
1983,203
1984,198
1985,242
1986,192
1987,188
1988,170
1989,232
1990,221
1991,236
1992,236
1993,260
1994,262
1995,288
1996,336
1997,233
1998,303
1999,309
2000,287
2001,302
2002,367
2003,358
2004,344
2005,366
2006,370
2007,382
2008,428
2009,410
2010,476
2011,526
2012,550
2013,556
2014,602
2015,566
2016,135
