Canada,127
BF,1
BA,2
BL,2
Lithuania,1
BV,1
Argentina,11
RS,5
Japan,320
Jordan,2
Taiwan,66
Spain,52
Netherlands,64
GE,1
GB,1
GA,6
Jersey,6
GH,1
India,49
Turkey,70
Bangladesh,1
Mongolia,1
France,57
Slovakia,2
Norway,25
PR,46
Singapore,9
Montenegro,1
PA,17
China,303
PL,16
Indonesia,1
EG,1
Finland,30
Sweden,45
KY,5
Bulgaria,4
MD,63
Romania,2
MA,26
MC,3
MO,2
MN,6
US,8
Malaysia,7
Austria,29
MV,1
MS,7
MR,1
Hungary,11
IL,27
Brazil,31
Kuwait,1
Luxembourg,8
Ireland,21
Nigeria,1
FK,1
Australia,37
Iran,29
NC,22
NE,2
Chile,1
Belgium,24
Thailand,10
CK,1
Georgia,5
CO,6
CN,1
CM,1
CC,4
Denmark,28
Poland,77
CG,1
MG,1
CZ,1
Croatia,3
Switzerland,31
CU,1
Portugal,13
Estonia,6
Uruguay,3
SS,1
Lebanon,3
SK,2
Tunisia,3
SC,15
SA,3
SE,3
SD,1
DO,1
Qatar,1
Italy,169
USA,517
DE,2
CH,1
Venezuela,1
Brasil,3
Israel,84
LC,1
LA,4
Iceland,1
TN,4
Germany,245
Martinique,3
CA,23
VA,7
UK,74
AG,1
AI,1
VI,1
AM,3
AL,7
AR,3
VU,5
IN,4
AZ,8
Morocco,1
Mexico,19
Egypt,17
Serbia,14
Greece,14
