Canada,211
BB,1
BO,1
Lithuania,11
BT,1
Ethiopia,1
BV,7
BW,4
Argentina,19
RS,4
Slovenia,8
GI,16
Germany,459
Spain,256
GW,1
Netherlands,260
GS,3
GR,1
Pakistan,14
Tanzania,1
GE,1
Greenland,1
GB,2
GA,14
Jersey,25
Jamaica,3
Albania,2
India,195
Azerbaijan,1
Turkey,125
Bangladesh,11
Hungary,21
France,219
Peru,5
CRI,1
Norway,63
PR,32
Singapore,25
PA,98
China,381
PG,2
PL,2
Ukraine,1
Indonesia,2
EE,1
Finland,51
Cuba,3
Sweden,404
NL,1
Taiwan,134
Bulgaria,1
ME,2
MD,38
MG,12
MF,1
MA,57
MC,9
MO,14
MN,12
MK,2
MU,2
MT,1
Austria,49
Latvia,1
MP,1
MS,5
Japan,995
IL,53
Brazil,141
FR,1
Kuwait,4
Ireland,32
Nigeria,9
Ecuador,2
Australia,160
Iran,108
VU,4
NC,41
NE,4
ID,1
Chile,22
Belgium,75
Thailand,28
Iraq,1
Philippines,3
CI,1
Georgia,18
CO,8
Brasil,7
CM,2
CL,1
CC,1
Denmark,90
CA,94
Romania,5
Morocco,2
Croatia,34
Switzerland,98
KG,3
Portugal,24
Estonia,1
SS,2
SR,1
KI,1
Lebanon,13
SK,1
Tunisia,7
SH,1
SN,1
Colombia,7
Reunion,1
SC,22
KY,10
SG,1
SE,3
SD,1
Qatar,3
Italy,497
Curacao,1
USA,1500
DE,12
Malta,1
CH,1
DZ,1
US,10
Venezuela,5
CN,1
UM,1
Israel,75
LB,1
Malaysia,50
Iceland,8
GP,1
TN,18
Jordan,12
LS,1
TH,1
Poland,65
VA,100
VC,1
UK,422
AG,11
VI,1
IR,2
AL,9
Macedonia,1
CF,1
AS,1
AR,9
LVA,1
AT,1
IN,15
AZ,17
Nepal,2
SA,22
Mexico,43
Egypt,50
LA,7
Serbia,7
GD,5
Greece,64
