1927,1
1928,1
1930,1
1947,3
1948,4
1949,7
1950,14
1951,11
1952,18
1953,33
1954,41
1955,23
1956,52
1957,76
1958,76
1959,37
1960,50
1961,41
1962,64
1963,157
1964,274
1965,183
1966,182
1967,253
1968,333
1969,378
1970,427
1971,508
1972,539
1973,682
1974,601
1975,666
1976,634
1977,648
1978,583
1979,712
1980,715
1981,699
1982,676
1983,822
1984,783
1985,757
1986,750
1987,722
1988,609
1989,639
1990,618
1991,560
1992,554
1993,478
1994,463
1995,404
1996,435
1997,292
1998,357
1999,365
2000,345
2001,330
2002,314
2003,300
2004,316
2005,291
2006,255
2007,263
2008,268
2009,270
2010,299
2011,243
2012,224
2013,235
2014,243
2015,201
2016,58
