Canada,252
BD,1
BA,2
BL,1
BM,1
JP,1
BJ,4
Ethiopia,3
BR,1
Argentina,35
Ghana,2
RW,2
RS,4
Japan,572
Slovenia,2
GI,2
Guinea,1
Jordan,9
Taiwan,98
Spain,135
Netherlands,128
GS,17
CHE,1
Pakistan,2
Oman,11
Tanzania,2
GF,2
GB,3
GA,33
Jersey,29
GH,3
Jamaica,6
India,476
Kenya,12
Turkey,108
Bangladesh,2
France,149
Slovakia,8
Peru,2
Norway,35
Malawi,2
Benin,5
PR,20
Singapore,33
DE,5
PA,72
China,159
PG,2
PE,2
PK,1
PL,31
Ukraine,2
Bahrain,1
Indonesia,2
Colombia,4
Libya,3
Finland,66
EC,1
Sweden,98
NL,1
SA,15
Bulgaria,7
ME,5
MD,77
Romania,4
MA,93
Portugal,11
UZ,2
ML,1
MO,31
MN,45
US,8
Malaysia,17
Austria,29
MS,6
Hungary,20
UA,1
VU,3
Brazil,75
FR,1
Kuwait,8
Panama,2
Luxembourg,1
RE,1
Ireland,27
Nigeria,19
COL,1
Ecuador,3
Australia,166
Iran,65
NO,1
NC,52
NE,7
Chile,9
Belgium,74
Thailand,42
Iraq,1
Georgia,30
CO,11
CN,3
CM,1
Denmark,48
CA,60
MG,3
Morocco,1
Montenegro,1
Croatia,2
Switzerland,70
BH,1
KG,1
MC,2
Estonia,1
Uruguay,8
SS,3
SR,1
Lebanon,7
Tunisia,3
SH,1
SM,1
SC,6
KY,14
SE,14
SD,2
Qatar,3
Italy,232
Curacao,1
USA,1646
Sudan,2
Nepal,4
MSR,1
Malta,1
GT,1
Venezuela,4
Lithuania,1
Brasil,18
Israel,80
Lao,1
LB,1
LA,10
Zambia,1
GP,1
Senegal,1
CZ,1
TN,26
Zimbabwe,6
Germany,303
Gambia,1
TD,2
Poland,148
VA,60
VC,1
UK,350
AG,10
VI,1
IR,5
AM,11
AL,15
AO,1
AR,7
IL,42
IN,18
AZ,17
ID,2
Mexico,62
Egypt,34
Cuba,1
Serbia,8
CX,1
Greece,19
MZ,1
