1947,3
1948,8
1949,3
1950,21
1951,11
1952,6
1953,14
1954,16
1955,12
1956,15
1957,12
1958,23
1959,14
1960,20
1961,21
1962,27
1963,67
1964,102
1965,83
1966,92
1967,169
1968,177
1969,255
1970,291
1971,304
1972,333
1973,445
1974,438
1975,439
1976,411
1977,396
1978,400
1979,395
1980,423
1981,449
1982,385
1983,475
1984,460
1985,457
1986,433
1987,382
1988,357
1989,394
1990,403
1991,350
1992,353
1993,298
1994,318
1995,341
1996,311
1997,268
1998,321
1999,326
2000,281
2001,276
2002,308
2003,253
2004,297
2005,291
2006,276
2007,274
2008,270
2009,243
2010,282
2011,303
2012,295
2013,315
2014,319
2015,290
2016,86
