1947,8
1948,28
1949,18
1950,22
1951,20
1952,17
1953,21
1954,17
1955,18
1956,9
1957,8
1958,7
1959,11
1960,11
1961,5
1962,28
1963,54
1964,68
1965,51
1966,61
1967,61
1968,70
1969,64
1970,58
1971,59
1972,95
1973,57
1974,65
1975,71
1976,70
1977,67
1978,82
1979,101
1980,100
1981,87
1982,120
1983,103
1984,117
1985,115
1986,104
1987,104
1988,107
1989,105
1990,104
1991,120
1992,111
1993,96
1994,86
1995,74
1996,88
1997,80
1998,76
1999,81
2000,108
2001,93
2002,94
2003,87
2004,102
2005,117
2006,116
2007,121
2008,87
2009,109
2010,133
2011,92
2012,111
2013,115
2014,123
2015,80
2016,18
