Canada,36
Argentina,1
Cameroon,1
Japan,67
KY,1
PF,1
Spain,42
Netherlands,24
Jersey,4
Pakistan,1
India,74
Turkey,3
Bangladesh,6
France,47
HM,1
Norway,1
PR,4
SK,1
Singapore,9
DE,2
PA,4
China,21
Ukraine,1
Libya,2
Finland,3
Sweden,1
SA,3
ES,1
Bulgaria,4
MD,8
Romania,2
MA,6
Portugal,2
MO,1
MN,1
US,4
UM,1
Malaysia,1
Austria,3
UK,47
Hungary,6
UA,1
Brazil,7
Ireland,7
Nigeria,2
Australia,36
Iran,4
Algeria,1
NA,1
NC,10
NG,1
Chile,2
Belgium,14
Thailand,5
CI,1
Georgia,4
CO,2
Brasil,2
CM,2
Denmark,6
Poland,18
Switzerland,18
Estonia,1
SS,1
Uzbekistan,1
SI,1
SN,1
Colombia,1
SC,1
Taiwan,2
Italy,51
USA,179
Nepal,1
Venezuela,1
Israel,3
LA,6
TN,1
Germany,18
CA,10
VA,3
AG,1
AL,4
IL,5
IN,5
AZ,1
Mexico,2
Egypt,12
Greece,4
