Canada,306
BD,5
BG,1
BA,7
BB,1
BE,1
BM,1
BN,1
Lithuania,10
Cambodia,8
Ethiopia,44
BV,3
Swaziland,2
BS,1
Palestine,2
Argentina,96
Cameroon,14
Ghana,20
LV,1
RW,1
RS,25
Uzbekistan,1
Laos,1
KY,12
Slovenia,11
GI,2
Kuwait,37
Jordan,13
Spain,499
LS,1
GW,1
GU,2
Netherlands,290
GS,8
Jamaica,3
Oman,5
Tanzania,26
GF,2
GD,1
Gabon,3
BJ,6
GA,79
Vanuatu,1
Yemen,5
Jersey,103
GH,2
Pakistan,44
Albania,1
Estonia,8
JM,3
PHL,2
India,1071
Azerbaijan,2
Lesotho,1
PL,2
Kenya,26
Turkey,413
Bangladesh,31
BR,4
MT,7
Mongolia,5
France,765
TT,1
Rwanda,2
Slovakia,16
Peru,42
HM,2
Norway,71
ETH,3
Benin,14
PR,68
PS,2
Singapore,54
DE,5
Togo,5
PA,84
China,690
PG,1
Armenia,2
PE,3
PK,1
PH,1
ER,1
Ukraine,6
Bahrain,1
Finland,87
JP,3
SM,2
Libya,3
NI,3
MG,21
Indonesia,25
EC,1
IT,1
Mauritius,1
Burundi,1
Sweden,163
Belarus,5
VN,1
Guyana,1
Mali,4
NL,3
ZW,1
Poland,77
SA,21
ES,4
Bulgaria,19
ME,4
MD,149
Romania,15
MA,69
MC,17
UZ,3
MM,1
Fiji,3
MO,18
MN,33
US,38
MU,2
Malaysia,28
MW,1
Latvia,5
Mozambique,6
MP,5
Uganda,40
MR,1
Hungary,19
Niger,1
VU,3
Brazil,252
Guinea,6
Panama,2
IN,15
Madagascar,9
Luxembourg,4
NP,3
Guadeloupe,21
Ireland,42
FI,1
Nigeria,62
Ecuador,5
MS,12
Australia,241
Iran,133
Algeria,2
RE,1
NA,1
NC,63
NE,23
Gambia,1
Chile,13
Belgium,181
Thailand,132
Haiti,5
Iraq,7
CI,2
Georgia,136
CO,54
Brasil,64
CM,1
CC,1
Denmark,112
Philippines,27
CG,1
CF,4
Moldova,7
Morocco,19
Croatia,7
Switzerland,294
CR,3
NR,1
SZ,1
KG,5
Portugal,84
KE,2
Uruguay,3
SS,2
KI,1
Lebanon,22
KM,2
SK,3
Egypt,47
CD,2
SN,3
Colombia,32
SL,1
SC,15
SB,2
Taiwan,180
Cyprus,2
SE,6
SD,2
Qatar,12
Italy,447
DK,1
USA,2570
Iceland,7
Sudan,5
Nepal,16
Malta,2
CH,9
MK,1
Venezuela,9
CN,1
UM,3
Israel,113
Lao,1
LA,12
TW,3
Zambia,14
TR,1
Austria,53
Malawi,26
TN,41
TO,1
EH,1
Zimbabwe,11
Germany,501
TK,2
TH,1
Martinique,3
Senegal,11
TD,2
Kazakhstan,4
CA,162
VA,52
Kyrgyzstan,2
AE,1
UK,598
AG,14
AF,1
VI,10
IR,4
AM,10
AL,24
Macedonia,1
AS,3
AR,10
IM,3
IL,46
Japan,914
AZ,16
ID,4
Honduras,3
Myanmar,4
Mexico,109
Tunisia,26
Nicaragua,1
Cuba,15
Serbia,7
Congo,10
Greece,120
Paraguay,4
Botswana,5
GB,2
