1947,1
1948,7
1949,8
1950,6
1951,5
1952,4
1953,14
1954,69
1955,174
1956,158
1957,182
1958,210
1959,218
1960,202
1961,171
1962,229
1963,497
1964,660
1965,483
1966,467
1967,597
1968,649
1969,681
1970,691
1971,690
1972,692
1973,708
1974,662
1975,579
1976,498
1977,468
1978,455
1979,477
1980,463
1981,461
1982,485
1983,465
1984,498
1985,496
1986,445
1987,469
1988,507
1989,516
1990,511
1991,516
1992,554
1993,533
1994,524
1995,594
1996,601
1997,497
1998,601
1999,645
2000,697
2001,745
2002,806
2003,825
2004,878
2005,932
2006,909
2007,871
2008,835
2009,854
2010,898
2011,934
2012,955
2013,1059
2014,1126
2015,1029
2016,289
